"municipio";"populacao"
"220045 Alvorada do Gurguéia";5282
"220050 Amarante";17568
"220060 Angical do Piauí";6811
"220070 Anísio de Abreu";9569
"220080 Antônio Almeida";3135
"220090 Aroazes";5880
"220095 Aroeiras do Itaim";2550
"220100 Arraial";4767
"220105 Assunção do Piauí";7756
"220110 Avelino Lopes";11096
"220115 Baixa Grande do Ribeiro";11136
"220117 Barra D'Alcântara";3947
"220120 Barras";46435
"220130 Barreiras do Piauí";3328
"220140 Barro Duro";7061
"220150 Batalha";26599
"220155 Bela Vista do Piauí";3934
"220157 Belém do Piauí";3454
"220160 Beneditinos";10437
"220170 Bertolínia";5471
"220173 Betânia do Piauí";6179
"220177 Boa Hora";6597
"220180 Bocaina";4477
"220190 Bom Jesus";24073
"220191 Bom Princípio do Piauí";5520
"220192 Bonfim do Piauí";5588
"220194 Boqueirão do Piauí";6308
"220196 Brasileira";8234
"220198 Brejo do Piauí";4013
"220200 Buriti dos Lopes";19642
"220202 Buriti dos Montes";8139
"220205 Cabeceiras do Piauí";10354
"220207 Cajazeiras do Piauí";3484
"220208 Cajueiro da Praia";7473
"220209 Caldeirão Grande do Piauí";5748
"220210 Campinas do Piauí";5572
"220211 Campo Alegre do Fidalgo";4913
"220213 Campo Grande do Piauí";5823
"220217 Campo Largo do Piauí";7106
"220220 Campo Maior";46514
"220225 Canavieira";3985
"220230 Canto do Buriti";20807
"220240 Capitão de Campos";11272
"220245 Capitão Gervásio Oliveira";4029
"220250 Caracol";10662
"220253 Caraúbas do Piauí";5752
"220255 Caridade do Piauí";4973
"220260 Castelo do Piauí";19718
"220265 Caxingó";5278
"220270 Cocal";27476
"220271 Cocal de Telha";4844
"220272 Cocal dos Alves";6083
"220273 Coivaras";3955
"220275 Colônia do Gurguéia";6317
"220277 Colônia do Piauí";7631
"220280 Conceição do Canindé";4780
"220285 Coronel José Dias";4664
"220290 Corrente";26296
"220300 Cristalândia do Piauí";8142
"220310 Cristino Castro";10311
"220320 Curimatá";11187
"220323 Currais";4878
"220327 Curral Novo do Piauí";5211
"220325 Curralinhos";4355
"220330 Demerval Lobão";13695
"220335 Dirceu Arcoverde";6914
"220340 Dom Expedito Lopes";6805
"220345 Dom Inocêncio";9506
"220342 Domingos Mourão";4361
"220350 Elesbão Veloso";14743
"220360 Eliseu Martins";4839
"220370 Esperantina";39149
"220375 Fartura do Piauí";5245
"220380 Flores do Piauí";4467
"220385 Floresta do Piauí";2549
"220390 Floriano";59456
"220400 Francinópolis";5355
"220410 Francisco Ayres";4478
"220415 Francisco Macedo";3095
"220420 Francisco Santos";9032
"220430 Fronteiras";11449
"220435 Geminiano";5348
"220440 Gilbués";10668
"220450 Guadalupe";10506
"220455 Guaribas";4531
"220460 Hugo Napoleão";3868
"220465 Ilha Grande";9261
"220470 Inhuma";15248
"220480 Ipiranga do Piauí";9667
"220490 Isaías Coelho";8461
"220500 Itainópolis";11415
"220510 Itaueira";10971
"220515 Jacobina do Piauí";5803
"220520 Jaicós";18753
"220525 Jardim do Mulato";4453
"220527 Jatobá do Piauí";4811
"220530 Jerumenha";4476
"220535 João Costa";3020
"220540 Joaquim Pires";14240
"220545 Joca Marques";5321
"220550 José de Freitas";38526
"220551 Juazeiro do Piauí";5444
"220552 Júlio Borges";5558
"220553 Jurema";4687
"220555 Lagoa Alegre";8353
"220557 Lagoa de São Francisco";6657
"220556 Lagoa do Barro do Piauí";4645
"220558 Lagoa do Piauí";4004
"220559 Lagoa do Sítio";5061
"220554 Lagoinha do Piauí";2776
"220560 Landri Sales";5357
"220570 Luís Correia";29636
"220580 Luzilândia";25389
"220585 Madeiro";8141
"220590 Manoel Emídio";5343
"220595 Marcolândia";8224
"220600 Marcos Parente";4556
"220605 Massapê do Piauí";6402
"220610 Matias Olímpio";10818
"220620 Miguel Alves";33374
"220630 Miguel Leão";1266
"220635 Milton Brandão";6637
"220640 Monsenhor Gil";10567
"220650 Monsenhor Hipólito";7649
"220660 Monte Alegre do Piauí";10601
"220665 Morro Cabeça no Tempo";4543
"220667 Morro do Chapéu do Piauí";6718
"220669 Murici dos Portelas";8888
"220670 Nazaré do Piauí";7425
"220672 Nazária";8399
"220675 Nossa Senhora de Nazaré";4757
"220680 Nossa Senhora dos Remédios";8532
"220795 Nova Santa Rita";4326
"220690 Novo Oriente do Piauí";6614
"220695 Novo Santo Antônio";2928
"220700 Oeiras";36732
"220710 Olho D'Água do Piauí";2410
"220720 Padre Marcos";6839
"220730 Paes Landim";4144
"220735 Pajeú do Piauí";3317
"220740 Palmeira do Piauí";5081
"220750 Palmeirais";14282
"220755 Paquetá";3986
"220760 Parnaguá";10643
"220770 Parnaíba";150931
"220775 Passagem Franca do Piauí";4263
"220777 Patos do Piauí";6317
"220779 Pau D'Arco do Piauí";3935
"220780 Paulistana";20358
"220785 Pavussu";3717
"220790 Pedro II";38551
"220793 Pedro Laurentino";2497
"220800 Picos";77114
"220810 Pimenteiras";12064
"220820 Pio IX";18242
"220830 Piracuruca";28350
"220840 Piripiri";63503
"220850 Porto";12355
"220855 Porto Alegre do Piauí";2661
"220860 Prata do Piauí";3159
"220865 Queimada Nova";8859
"220870 Redenção do Gurguéia";8680
"220880 Regeneração";17976
"220885 Riacho Frio";4329
"220887 Ribeira do Piauí";4415
"220890 Ribeiro Gonçalves";7158
"220900 Rio Grande do Piauí";6426
"220910 Santa Cruz do Piauí";6202
"220915 Santa Cruz dos Milagres";3945
"220920 Santa Filomena";6246
"220930 Santa Luz";5741
"220937 Santa Rosa do Piauí";5265
"220935 Santana do Piauí";4588
"220940 Santo Antônio de Lisboa";6276
"220945 Santo Antônio dos Milagres";2132
"220950 Santo Inácio do Piauí";3766
"220955 São Braz do Piauí";4430
"220960 São Félix do Piauí";2997
"220965 São Francisco de Assis do Piauí";5632
"220970 São Francisco do Piauí";6437
"220975 São Gonçalo do Gurguéia";2959
"220980 São Gonçalo do Piauí";4933
"220985 São João da Canabrava";4577
"220987 São João da Fronteira";5924
"220990 São João da Serra";6230
"220995 São João da Varjota";4797
"220997 São João do Arraial";7726
"221000 São João do Piauí";20278
"221005 São José do Divino";5305
"221010 São José do Peixe";3769
"221020 São José do Piauí";6729
"221030 São Julião";6316
"221035 São Lourenço do Piauí";4550
"221037 São Luis do Piauí";2634
"221038 São Miguel da Baixa Grande";2440
"221039 São Miguel do Fidalgo";3043
"221040 São Miguel do Tapuio";17782
"221050 São Pedro do Piauí";14111
"221060 São Raimundo Nonato";33823
"221062 Sebastião Barros";3566
"221063 Sebastião Leal";4250
"221065 Sigefredo Pacheco";9952
"221070 Simões";14546
"221080 Simplício Mendes";12527
"221090 Socorro do Piauí";4603
"221093 Sussuapara";6536
"221095 Tamboril do Piauí";2864
"221097 Tanque do Piauí";2719
"221100 Teresina";847670
"221110 União";44037
"221120 Uruçuí";21047
"221130 Valença do Piauí";20859
"221135 Várzea Branca";4993
"221140 Várzea Grande";4418
"221150 Vera Mendes";3066
"221160 Vila Nova do Piauí";3069
"221170 Wall Ferraz";4418
"230010 Abaiara";11137
"230015 Acarape";14372
"230020 Acaraú";60230
"230030 Acopiara";53169
"230040 Aiuaba";16912
"230050 Alcântaras";11367
"230060 Altaneira";7254
"230070 Alto Santo";15747
"230075 Amontada";41495
"230080 Antonina do Norte";7226
"230090 Apuiarés";14228
