"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110025 Presidente Médici";-;4;3;4;2;-;-;-;-;-;-;-;13
"110147 Primavera de Rondônia";-;-;-;-;1;-;-;1;-;-;-;-;2
"110026 Rio Crespo";-;-;-;1;1;-;-;1;-;-;-;-;3
"110028 Rolim de Moura";3;-;-;-;2;1;-;1;-;2;1;1;11
"110029 Santa Luzia D'Oeste";-;-;-;-;1;-;1;-;-;-;-;-;2
"110148 São Felipe D'Oeste";1;-;-;2;2;-;2;-;-;-;-;-;7
"110149 São Francisco do Guaporé";-;-;-;-;2;-;-;-;-;-;1;-;3
"110032 São Miguel do Guaporé";-;-;-;1;-;-;-;-;-;-;-;-;1
"110150 Seringueiras";6;-;-;-;-;-;-;-;-;-;-;-;6
"110175 Vale do Anari";-;-;-;1;1;-;-;-;-;-;1;-;3
"110180 Vale do Paraíso";-;-;-;-;-;-;1;-;-;-;-;-;1
"110030 Vilhena";-;1;2;3;2;3;1;1;-;-;-;2;15
"120001 Acrelândia";19;5;4;4;1;-;1;6;-;5;6;10;61
"120005 Assis Brasil";-;4;-;-;-;-;-;-;-;-;-;-;4
"120010 Brasiléia";4;6;13;4;3;-;2;2;5;13;35;62;149
"120013 Bujari";-;-;-;-;-;-;-;-;-;2;6;-;8
"120017 Capixaba";-;4;5;-;3;-;-;-;-;2;-;1;15
"120020 Cruzeiro do Sul";338;228;186;139;33;7;3;17;6;47;26;49;1079
"120025 Epitaciolândia";3;5;4;-;-;1;4;1;-;4;12;3;37
"120030 Feijó";-;-;-;-;14;28;18;58;180;440;435;46;1219
"120033 Mâncio Lima";1;1;2;-;6;-;10;25;93;68;112;270;588
"120034 Manoel Urbano";1;-;-;1;69;32;9;5;8;40;20;-;185
"120038 Plácido de Castro";8;1;1;4;9;7;10;6;28;70;213;113;470
"120080 Porto Acre";1;3;3;5;3;-;-;2;-;4;36;15;72
"120039 Porto Walter";-;2;-;-;-;1;-;-;-;-;-;-;3
"120040 Rio Branco";96;127;131;121;124;104;106;91;80;142;205;414;1741
"120042 Rodrigues Alves";9;8;13;13;18;3;2;1;1;-;5;14;87
"120050 Sena Madureira";1;1;1;-;-;3;-;-;30;207;591;285;1119
"120045 Senador Guiomard";-;2;5;4;4;2;3;-;-;-;3;-;23
"120060 Tarauacá";3;-;1;2;27;5;2;3;2;110;112;14;281
"120070 Xapuri";9;11;25;20;12;9;16;6;1;8;15;10;142
"130002 Alvarães";-;1;-;-;-;-;-;-;-;-;-;-;1
"130010 Anori";-;1;-;-;-;-;1;-;-;-;-;-;2
"130040 Barcelos";-;-;-;1;-;-;-;-;-;-;-;-;1
"130060 Benjamin Constant";-;-;1;-;-;-;-;-;-;-;-;-;1
"130068 Boa Vista do Ramos";-;-;-;1;-;-;-;-;-;-;-;-;1
"130080 Borba";-;-;-;4;2;-;1;-;-;-;-;1;8
"130100 Carauari";-;-;-;-;-;1;1;-;-;-;-;-;2
"130120 Coari";4;1;1;5;2;2;-;-;-;-;-;-;15
"130130 Codajás";-;-;1;-;-;-;-;-;-;-;-;-;1
"130150 Envira";-;-;-;-;-;-;-;-;-;-;1;-;1
"130165 Guajará";16;13;27;5;10;4;6;5;5;5;6;7;109
"130170 Humaitá";8;7;1;1;1;-;-;-;-;-;-;-;18
"130190 Itacoatiara";63;93;92;53;5;6;12;10;3;11;6;2;356
"130200 Itapiranga";-;-;-;1;-;-;-;-;-;-;-;-;1
"130240 Lábrea";1;-;2;-;-;-;-;-;-;-;-;-;3
"130250 Manacapuru";-;-;1;-;1;-;-;-;-;-;-;-;2
"130260 Manaus";56;72;153;187;153;147;122;112;87;83;67;64;1303
"130290 Maués";-;-;1;1;6;-;3;2;1;1;-;-;15
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-;-;-;1;-;-;1
"130330 Novo Aripuanã";2;-;2;8;-;2;-;-;1;1;-;-;16
"130340 Parintins";-;-;-;4;1;2;-;-;-;-;-;-;7
"130353 Presidente Figueiredo";1;-;-;-;-;2;-;-;-;-;-;-;3
"130356 Rio Preto da Eva";-;-;-;-;-;-;-;2;-;-;1;-;3
"130380 São Gabriel da Cachoeira";5;3;2;7;11;6;16;20;18;10;10;7;115
"130406 Tabatinga";2;1;4;3;1;-;2;1;-;1;2;-;17
"130410 Tapauá";6;8;3;7;5;2;3;2;1;-;1;-;38
"130420 Tefé";94;64;39;21;20;13;5;10;5;6;1;2;280
"130440 Urucurituba";-;1;1;-;2;-;1;-;-;-;-;-;5
"140005 Alto Alegre";-;-;-;-;-;-;-;-;-;-;-;1;1
"140010 Boa Vista";1;-;1;-;2;4;4;10;10;23;10;10;75
"140015 Bonfim";-;-;-;-;-;-;1;-;-;-;-;-;1
"140020 Caracaraí";-;-;-;-;-;1;-;-;-;-;-;-;1
"140030 Mucajaí";-;-;1;-;-;-;-;-;-;-;1;1;3
"140040 Normandia";-;-;-;-;-;-;1;2;-;-;-;-;3
"140045 Pacaraima";-;-;-;-;-;-;-;-;-;-;1;-;1
"140047 Rorainópolis";-;-;-;1;-;-;8;13;-;-;-;-;22
"140050 São João da Baliza";-;-;-;-;-;-;-;3;-;-;-;1;4
"150010 Abaetetuba";13;6;5;2;2;-;1;3;-;1;4;2;39
"150013 Abel Figueiredo";-;-;-;-;-;-;-;-;1;-;-;1;2
"150020 Acará";-;-;2;4;1;-;-;1;-;-;-;-;8
"150030 Afuá";-;-;-;-;-;-;-;-;-;-;1;-;1
"150034 Água Azul do Norte";-;-;1;2;-;-;-;-;-;-;-;2;5
"150040 Alenquer";6;1;2;1;1;-;-;-;-;-;1;2;14
"150050 Almeirim";-;-;-;17;41;7;2;4;-;6;-;-;77
